ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
10089,variation,,Plain Black Jacket - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,1,Chest Size,28,,1,1
10090,variation,,Plain Black Jacket - 30,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,2,Chest Size,30,,1,1
10091,variation,,Plain Black Jacket - 32(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,3,Chest Size,32(+£3.00),,1,1
10092,variation,,Plain Black Jacket - 34(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,4,Chest Size,34(+£3.00),,1,1
10093,variation,,Plain Black Jacket - 36(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,5,Chest Size,36(+£8.00),,1,1
10094,variation,,Plain Black Jacket - 38(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,6,Chest Size,38(+£8.00),,1,1
10095,variation,,Plain Black Jacket - 40(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,7,Chest Size,40(+£8.00),,1,1
10096,variation,,Plain Black Jacket - 42(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,41.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,TJ02,,,,,,8,Chest Size,42(+£8.00),,1,1
10097,variable,TJ02,Plain Black Jacket,1,0,visible,Has a Fleece on the Inside of the Jacket. Water Proof. Hood Folded in the Back of the Jacket. ,Has a Fleece on the Inside of the Jacket. Water Proof. Hood Folded in the Back of the Jacket. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,41.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Wren Academy Finchley (Secondary)",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/133-500x500.jpg,,,,,,,,,0,Chest Size,"28,30,32(+£3.00),34(+£3.00),36(+£8.00),38(+£8.00),40(+£8.00),42(+£8.00)",1,1,1
